artist_id;artist_name;track_id
1H78Q8wCK3PAvs1G3ocexx;daedaePIVOT;2ROmMcGqLYzPRWaUptuOv1
7auVoAwdrloWdyKULVOauu;MFnMelo;2ROmMcGqLYzPRWaUptuOv1
4LEiUm1SRbFMgfqnQTwUbQ;Bon Iver;6khKJVbTxzfhbGfHMtyOM8
5jh7sgXW2njALiIh0aPXjB;Show Me the Body;31RqWiAuNsNWcUj7VgsO6H
4Gmrt82h2vjGjnp67SG5Nw;High Vis;2aeOHlYvx9IIdWmyTiQelk
49O77SKrEk1b9sNjhI0kM4;Heriot;1O3LoiZkCtRgW3AWJ5z7fp
2HGAZDmVV3GAH4XFAZdvSG;Isaac Delusion;37QFhBYOcgmhDudsi6WguG
5CFSYjc0PAiQvndFjafabk;Dean Blunt;0FMR48WoAQivFMFZ1HdVY8
1R84VlXnFFULOsWWV8IrCQ;Panda Bear;7MarkM3buE9DyaEZ59b7vy
5iUnvXddCpOrbWKm7QMr6o;Vegyn;0FMR48WoAQivFMFZ1HdVY8
59oA5WbbQvomJz2BuRG071;Jungle;3fvZo45Y28ly1QBo05pujJ
6WP8xxDLcPKNgdQWjU3BzN;Liquid Mike;1xzqZGczGLdCtV7RJ7hKsG
2Mvgw0Sfyepmz6lgRAooex;nusar3000;1uUp1W7gIXXHeeN957Vt93
29rvPhemBdOLYdLr2xI8dr;Six Sex;1uUp1W7gIXXHeeN957Vt93
3c5PAcbkeFrbWUp42FaBkW;Belong;749VLWKnrjPa3iDScwc4V6
0aE0jIMsKSVBasU5D0e5zM;Starcleaner Reunion;2zivb1ctJJWO72i4fttutV
3Ut1IKlpXHBQwxklMxBsPX;LeoStayTrill;37SR66nUcBynhOqSmZx3Xt
1nRbtbdYK51y71nVOxu332;Kerchak;0KdUSrgLiQYgYqJWvFwIHS
5szilpXHcwOqnyKLqGco5j;Faye Webster;5bPwGutk2BKA46R4hQuZZ0
64ATDQsFeDvIJokVA2YVke;Everyone Asked About You;7wrCb4w96svg3UUjCDZ9NY
73XtH9MpvvvcUxQxYEAX15;Hey, Ily;5EBbZEcTY3CgpxdpN8eO3F
5IWCU0V9evBlW4gIeGY4zF;Waxahatchee;1ptXvuSGFStaYw6eumiesq
0aCjVhVSBUMVwo7WRrdLiJ;Fievel Is Glauque;7eZyA1tOwt7hRQiiIF8mUC
79yETfINxnDl54mTKLZUlb;Enumclaw;2LP4LllG0k6nSvAtbe60Xr
335TWGWGFan4vaacJzSiU8;A. G. Cook;56xB3EGgd7qxfzAVji8Fh2
2xGbY9iFLZqd9BK0YV1aKW;Noeline Hofmann;51K4qVFCpF05rJ0OWPiRTr
39hfuTf4PHfnHgIl0QBDGL;AKRIILA;3dffM1ONyWwC9153O47a2O
3diDUq8QMCCtx8a4Jy42aO;Hana Vu;2Sa7c1IlT7bVHEt8s982It
0BXnfQpsxFevtKePq6eX4y;Chenayder;49aBr2lBFh0LkR84IbsIQz
1peoXq0RPx7czVoFjloeDQ;MAVI;49aBr2lBFh0LkR84IbsIQz
4fpwOzxFRMVGfd197dKIdY;Boldy James;3jZTAWOSNWaWauQ03WX9da
1VuBGdfqq86BQyiDactQAC;Conductor Williams;4ckASuglN7Xg6V5yL77bqc
4ZAk3yVJdtf1CFnTiG08U3;Luna Li;62Zw1ojf7TsvGCUMzzQOT8
3QTDHixorJelOLxoxcjqGx;SiR;6vZRq9JIOGTl3b9dmEgeZV
3jK9MiCrA42lLAdMGUZpwa;Anderson .Paak;1kJK2dkXbMw8yOMFEuJUm7
3CiuXDKttPUT0tWGHicFUH;Tim Atlas;10wbN21d8FXT0cFIaCw1yV
5EF4drUzQkdBnQSDZfAZZ4;Ships & Hardships;36w3cHja0higj2psjFiKTZ
39ZHUueufhIdbW4yu9uODG;V V Brown;7KANSTlZEsFix378ARiJ5b
2Y8G3abt5hRU7X9RNi7dlZ;Anna McClellan;6HRXAtJ0ZfdHYIyBbFKwuO
7axZFTseO96HmG1u4ABDAI;RØRY;0woTcSd92pBcKgcZwcdeHA
5jy9tglmQRLmTmcqz2qyUa;Eliza McLamb;3QMCIWdYpl9ALwyPG9udcz
5A7T1LAGJg5NXySBoIKUmF;Che;7nerBO36BHtGbgwWqyhNz0
4q3ewBCX7sLwd24euuV69X;Bad Bunny;1OSOHTBFkIkhUtxhOyUksc
3ztRX1UoIOsFqpD7dB6R8O;illuminati hotties;38aNl1TpX3wSrl0yqBhvOX
0HRGx78eQaMqoHoopLfi2h;Chuckyy;1G1iwWjnbctKpb0LhcX93Q
4VnDOpK4rdMBMihlIt6Uxr;Ayesha Madon;5eRSBJ5HF7g5IzDhY45Ryi
16QCJENzcdhwka9bTKYMVB;Touché Amoré;609A6oa4P6iD0YY8cxNeMU
7dYpljfleToKnSmBFqjqkd;Tapir!;0oyOsaqUQhvZH7Dfavot0g
3qOGTt4eTeEkCn3efhAGu2;Nick León;7KZa2q92Dwbjrx2zo4obgw
1nIJEqPyIj5qutlgWNmQB0;Erika de Casier;7KZa2q92Dwbjrx2zo4obgw
6U1lmwvy3I9dIYu9RalJi6;Horse Jumper of Love;5IgYoIjoRxfSuAr436g029
3l0CmX0FuQjFxr8SK7Vqag;Clairo;6FcDxtnGfsYHOcGkXN2OIG
53by9P3tpXOW1diWCI6MNu;Wand;23YlbX6Q2fmOpGC3f5Rzft
2rLGlNI6htigNxx172qxLu;Jane Remover;1mW9XrT9XdnsDPuthSgusZ
4VivsO1n4n2Mi2Btyb5gfL;Cosmo's Midnight;6nJ5Me87gXfmxAvtsrKFcT
1b1pwTnc2DJVXGy8pniShT;Macseal;4nz2wBxuWeRJ802fKQqjbp
5LhTec3c7dcqBvpLRWbMcf;Madlib;4PpnDYRLipOJnxlT2Ewl6a
6DJEUXZm0e2rAohdoZ5Voo;Black Thought;2T28tl7T9TR4qQqFGTHL1c
20dRvQDfCTLJU0pgq13ZYp;Your Old Droog;1hnCedLOQd3hGlV0RbDBUS
4uG8VYp1GLQpZVokfG2Ui7;Ellur;1D4wP2P16amoaTKWLh5y5H
0IVapwlnM3dEOiMsHXsghT;Nosaj Thing;6g80KZsDgDKUUinR5biFcC
0ygIgsjUzKivFgxgjQ9iV9;Jacques Greene;6g80KZsDgDKUUinR5biFcC
