track_id;popularity;track_name;duration
2oHlXSi9QNnyRbcY9F9BsP;26;Nekk;145008
0fIvB3uEk6K6T9JACYD66O;30;After You;148724
2LIgTJnCCAtGbuPn0qN7Ny;64;POOKIE’S REQUIEM (feat. Summer Walker) - hehe look y'all I made it longer;173294
1xTkktNgpQzWQerIIJ8QuP;36;take me by the hand (feat. Bladee);171570
19klnHuCJeI8cFAdofKIlk;37;NOT THE ONE;152112
4IPmlmJ9V83jBtleFmDyJv;6;See You Down the Highway;172813
4Ce8dTj67I9SbiSf7QPno2;27;Not Hell, Not Heaven;181027
1pUt8sRBMf9wZ8VBBXrDL3;25;!OK!;126000
7hyZsVYaIVyhxuIL73yIAb;52;BUTTERFLY EFFECT;151000
7rUo3qpSvGob97U68qb0M6;48;おいしいサバイバー;178840
0exagy6KgTwlFakT27iWmC;30;Certified;185603
27qG35pb4kXhdKqdlhT1Vl;23;Towards Horses;223392
2nHZuHgtv8HqN6lWWSlvdW;42;Sanctuary;211061
2Tay3lnYUTYlClh0KFNPcj;49;Inner Wave;223801
7bFXjldFpiHnXqM38oSi50;48;Bad Choices;184600
2d733TfrpuuTj2wYBpb5RU;26;Love Will Probably Kill Me Before Cigarettes And Wine;240950
41YlWhySoJVw2TXaxW1q5G;63;afraid (feat. nate sib);178826
0sTBOp1hdayTjw6UOyPyi6;79;Open Hearts;234923
0dLFlKIw6up52Aftqd88Mx;41;Sylvia;140193
7rnf52xwcIFYFL9eTfKGrc;26;Angie’s Wedding;233482
02cnKY1iCTP2qp2VRYPJ00;32;magic;175991
1HaNDMAJjsEinenk205n4P;24;Kermit & Gyro;151720
7nqOy9W1AcgvPB1Ww3N44S;43;Plastique;187459
2ugt0UqL0wBkwZySJfddEJ;13;Troubadour Moon;279269
71X2JVYR4k6iZvdDByQL6w;33;Duél;288000
5kokKFnPJJ45oW8tzjqFR8;25;Viens Danser;237133
43caU3kDt59eaI8MiKtaMF;15;In Heretic Blood Christened;242597
5Ow6O5uZGEiCcaYi980V3N;47;REACHING FOR THE SKY;235900
3HgNP8qTCHld77Sp6s6WJd;47;The Shit Ov God;336773
2oJwPMsHAMmsfpPFWEDrpP;8;Funeral Pyre;240250
4VruElIXifs4MixNrCd0uB;50;In Love With A Memory;243008
7yOV3TWqCHTVNJIpaxVCbm;56;Time;189000
0Se6mgNePguteLSjreJow8;49;desire;149808
41erfU2sWv6sOB4w4ePErr;33;For A While;213974
5HJ9vyLx0HbezfxzKQkEDR;48;Silver Swarm;273524
2P6YMsU9jt22CXfizfudi3;77;Love Hangover (feat. Dominic Fike);180129
0g6olXNFO0lM3QVzjXDiS3;28;When It Betrays (feat. Colin Young);170746
6nTpkrt5jhJFJzao1Figes;37;Trembling Level;157946
0TXezdBZlkwhAhmrYIBvxv;28;Angel;114000
62Z5rlfm5y3VU8Q3QXceLT;55;**GOLIATH**;185939
1RSEUx1pkaiL7is1obW5v7;14;Vacant;189723
3pLhJF9bSgBMDbBphod6tB;26;Chasing Thrills;246154
6DgySa06E3w4dDTyvurngi;16;Every Night's Alright For Fighting;233960
4OMRT2wSbKKZHRQjuJmV0q;54;materiaL hor$e;94000
4NplbKZO0lLEZ3obzxWBpt;39;Magnolia;254500
4OQ3XifVIqIm5zNwlflXTc;28;Hit the Brakes;246191
4W5xQv7WvaqpeFeg1guYQF;17;Kill;125696
0hCogcnEGBgb0AIh6v1kxL;9;Lafayette;181709
4d3a5WyZhMsqojMU0MHJ3k;38;Immortals;173437
3leEuA0pLARgAtq0UZSVuO;39;all tied up;242206
1ql85BPlY53nyhSaktas59;28;SHOW AND TELL;160689
7gR5CpDbUBfOs75WDcGZof;26;Champagne Taste;192371
1P9AOBEfNAfKsYAmN5nP6h;41;pop;175257
0vRl8ZLsrfI38qAynLkqC1;16;Metro;225664
7ruMeQQkscgQGCtDG5XNIL;26;Wish I Had a Friend;293718
6YkhFMoq5oAFFkShLhkuOx;49;TEKTIME;180425
3xlNhQWwb0WS3w6P3VJpJF;21;SURVIVAL AIN'T TAUGHT;86019
5Qc0f2pkumcKVzyLrvKEky;33;Crashing Parties;169742
5P36hJVByPV5mNYUYpAQfY;25;Dehydrated;226958
3yDi4w5cuQQEpQXrozMW2B;77;Blue Jean Baby;132068
0g1E4Q6653qeAegOEL5T1B;47;PROTECT THE CROSS;169496
63JgXc0KFuJ0L56E0gjqX8;28;Drop;256819
0yHB5eEVelMgq6sKR9zR57;42;scene before the kiss xoxo;113718
7prcfanTLk3DCeER51hqd3;45;CAN'T GET RIGHT;137142
34ZmfrVwRAgTFSgMSmifbD;34;Wanna Start A Band?;173786
68o1mDkJzpvTshz9xrfduC;71;Wonderwall - Spotify Singles;240151
7CMBefQcdkwbUcnjljG2aa;19;Rabbitbrush 2;222741
4TPeK1K6tgwrnI3HjPSdUX;38;Cherry;286994
5MuA3JCf2PDUHrvRjKsr4m;17;Possessed To Die;233955
7jaC29AS3PijtSBOaieFQa;17;Hidden;476691
4gWn64s7xadPCaqATrDCKO;20;'Til Morning Light;241889
5F9T5JsuTugogBqM1rHCvG;33;Too Far Gone;185840
5NnWavPRg3kHGSsFd18We9;41;look what you're doing to me;264289
6pVOmtY7MYzOdV5KwVEvDQ;55;Dog's Dinner;225032
3KWwb2rZjI2P1hwuQ4gaqS;42;Space Between Us;225231
