track_id,danceability,energy,key,loudness,mode,valence,tempo,duration_ms,time_signature
4JdxxPk2G1IUAZuiBU0Ky0,0.622,0.801,8,-4.475,1,0.451,88.004,181416,4
3Kh8X9lHztqVBTgw30HbXn,0.816,0.649,0,-5.12,0,0.686,138.056,168933,4
4AUEcE0uxtcxVsTLcvjB3N,0.29,0.692,9,-7.11,1,0.245,80.1,186446,4
3dvz9UIWSglLDqxd3jzjtU,0.792,0.954,1,-7.755,1,0.197,134.998,290011,4
1J1MkHbMa5Mq7i4pYcIjtp,0.772,0.901,1,-6.402,1,0.571,143.01,136364,4
61KfU2AHAjgdJOCNPkJejw,0.841,0.851,1,-3.495,1,0.592,114.172,113998,4
7bqrh2IOMOnLgRWjadYpvA,0.666,0.39,9,-10.686,0,0.343,109.983,212524,4
1tHYeRTwPlHkKV3uOY0uSm,0.957,0.769,0,-6.044,1,0.845,119.995,196611,4
3w9gJqNJwFqFH2jkdWfSRO,0.597,0.95,7,-3.718,1,0.944,97.305,84093,4
2VTONdm0lAmxbCNDcuRrBV,0.22,0.212,6,-17.025,1,0.0813,90.382,312771,4
1Vl9uXkXwSCEit0hafWtFd,0.278,0.952,6,-7.635,0,0.24,180.019,156761,4
2mYboDvPKsKu0wdUTKhLhf,0.184,0.201,7,-14.899,0,0.305,172.933,137000,4
7bRuyTm2EB68doGvdsGfRn,0.287,0.917,7,-2.796,1,0.439,210.089,187702,4
10HxjaiYNDRtCeTCAvQNUL,0.432,0.831,10,-6.931,0,0.83,132.643,179593,4
3CCRVu4F91Qp2mnGjmWBrf,0.632,0.539,4,-8.375,1,0.186,109.962,279833,4
5fiOIyutgV4TszPKySLCkK,0.421,0.225,9,-13.075,1,0.0453,160.051,204735,5
5QsxLzOb24HfclGs6BLEt1,0.346,0.43,9,-13.839,0,0.0403,172.117,128750,4
1CLHh77zFhvmgbOG27JyRR,0.361,0.501,7,-9.025,1,0.195,192.13,266707,4
1fNIbl0sySO4HmMK5D2pws,0.694,0.481,1,-10.093,0,0.464,126.815,268210,4
6LyxstEkltj3AykVK65Jsf,0.392,0.0434,0,-14.46,1,0.211,178.553,186990,4
0cZ9HBGWLZJS7UHCgWXOTZ,0.763,0.409,6,-7.901,0,0.571,138.819,224599,4
03vUSQpYEQryhvhI4VUsqb,0.6,0.311,6,-11.332,1,0.275,99.999,228600,3
7oYKfi9roNV0WTUIn8WIv3,0.513,0.473,5,-5.037,1,0.546,195.564,153103,5
3CwXTRvQ2Wh5biMOvaIWA4,0.516,0.535,1,-7.848,0,0.096,90.172,229372,4
7qJXfY2YuKeAc4y8CdWJPq,0.866,0.409,8,-9.647,0,0.513,129.971,151926,4
1LL9I5SJhI1aG0pjkFWzYV,0.64,0.572,7,-9.293,1,0.453,149.87,70427,4
1nwrGv4MX7U1qqJwUHmUfW,0.488,0.244,9,-14.522,1,0.0399,111.844,270564,4
3c0xttpVl8Z8L9VpDGRwnh,0.617,0.797,10,-4.315,0,0.465,116.013,278017,4
17frYdL7vt37pqL29cgUo7,0.17,0.618,7,-13.324,1,0.0279,79.625,427481,4
6gOxexvj0mjwnRRrLXT1cB,0.453,0.375,1,-8.405,0,0.467,93.194,208837,4
7qk9sans3VsZtEjY22oKEp,0.58,0.491,1,-11.31,1,0.611,123.522,312458,4
7ddHGUPt5bOpVFAtX6TJN8,0.817,0.375,1,-7.011,1,0.531,134.998,164514,4
3xY5aYJcdvZX9xQxNd02ku,0.736,0.754,4,-5.457,1,0.648,128.046,176480,4
2XoaX7e46ZQ5VUpFv02wQ1,0.262,0.644,2,-7.397,1,0.121,129.98,724754,4
70L0j8buiKyt9NmFaz9lnb,0.532,0.888,1,-6.233,1,0.833,133.951,367081,4
